epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,359.366,0.28847,0.35285,0.91778,0.9333,0.998,0.99412,0.98642,0.23875,0.41268,0.8252,0.000321875,0.000321875,0.000321875
77,363.919,0.27562,0.3324,0.92628,0.96809,0.92345,0.99036,0.98389,0.24077,0.42051,0.82448,0.0003095,0.0003095,0.0003095
78,368.231,0.27143,0.31492,0.9047,0.811,0.89633,0.98547,0.97429,0.24006,0.6119,0.82352,0.000297125,0.000297125,0.000297125
79,374.172,0.2706,0.32422,0.92968,0.8076,0.96847,0.99235,0.98116,0.24275,0.55095,0.82454,0.00028475,0.00028475,0.00028475
80,378.456,0.25348,0.31673,0.90898,0.88861,0.98869,0.99406,0.98133,0.23793,0.39682,0.82684,0.000272375,0.000272375,0.000272375
81,382.508,0.27639,0.31284,0.90708,0.99209,0.99179,0.995,0.98172,0.22631,0.32613,0.82309,0.00026,0.00026,0.00026
82,388.261,0.27993,0.31735,0.91906,0.99124,0.99868,0.995,0.98007,0.23162,0.33324,0.82674,0.000247625,0.000247625,0.000247625
83,392.889,0.27247,0.28303,0.91265,0.98049,0.99394,0.995,0.98538,0.23785,0.32035,0.83391,0.00023525,0.00023525,0.00023525
84,397.703,0.28606,0.31386,0.93492,0.96441,0.98819,0.99406,0.98073,0.23458,0.32934,0.83217,0.000222875,0.000222875,0.000222875
85,402.854,0.27579,0.30702,0.92632,0.99124,0.95481,0.99406,0.98076,0.24403,0.35329,0.8331,0.0002105,0.0002105,0.0002105
86,407.124,0.25713,0.29814,0.91029,0.99127,0.98608,0.995,0.98088,0.23906,0.34002,0.83264,0.000198125,0.000198125,0.000198125
87,411.952,0.27253,0.28618,0.91067,0.98413,1,0.995,0.98933,0.23104,0.33459,0.82626,0.00018575,0.00018575,0.00018575
88,416.884,0.26714,0.28172,0.91009,0.94794,1,0.995,0.98372,0.23751,0.34733,0.82679,0.000173375,0.000173375,0.000173375
89,421.402,0.24971,0.28517,0.91816,0.93235,0.98399,0.995,0.98307,0.2373,0.34537,0.82779,0.000161,0.000161,0.000161
90,425.729,0.26102,0.25921,0.90794,0.9362,0.98885,0.995,0.98784,0.23703,0.344,0.83086,0.000148625,0.000148625,0.000148625
91,434.137,0.19825,0.32076,0.84123,0.96438,1,0.995,0.98389,0.24081,0.34583,0.83449,0.00013625,0.00013625,0.00013625
92,438.919,0.19356,0.30777,0.82491,0.95257,0.98852,0.995,0.97632,0.25541,0.40307,0.84015,0.000123875,0.000123875,0.000123875
93,444.408,0.19129,0.28329,0.8297,0.93678,0.97374,0.995,0.98189,0.23265,0.37021,0.8256,0.0001115,0.0001115,0.0001115
94,448.521,0.18733,0.27175,0.8184,0.97376,0.93978,0.995,0.984,0.23188,0.35635,0.82418,9.9125e-05,9.9125e-05,9.9125e-05
95,452.793,0.18395,0.27229,0.84369,0.95761,0.95539,0.995,0.9822,0.23758,0.33965,0.82683,8.675e-05,8.675e-05,8.675e-05
96,458.151,0.1876,0.30761,0.82744,0.95439,0.98622,0.995,0.98434,0.22921,0.31525,0.82326,7.4375e-05,7.4375e-05,7.4375e-05
97,462.066,0.17751,0.28135,0.84979,0.96603,1,0.995,0.98083,0.22195,0.29892,0.81911,6.2e-05,6.2e-05,6.2e-05
98,466.291,0.17504,0.29313,0.81586,0.98056,0.99901,0.995,0.98124,0.22612,0.29475,0.82003,4.9625e-05,4.9625e-05,4.9625e-05
99,471.568,0.17599,0.25056,0.81536,0.98993,1,0.995,0.98365,0.22604,0.29273,0.81983,3.725e-05,3.725e-05,3.725e-05
100,475.747,0.17514,0.34115,0.81894,0.99054,1,0.995,0.98683,0.22652,0.29186,0.81929,2.4875e-05,2.4875e-05,2.4875e-05
